Name,Position,Minutes,Minutes/Game,Points/32,Assists/32,Rebounds/32,Steals/32,turnsover/32,Fouls/32
Name,none,none,none,none,none,none,none,none,none
"Sam Masten - Jr
Rock Canyon (Highlands Ranch, CO)",G,397,14.7,49.3,6.1,8.9,3.3,5.7,4.0
"Taylor Bruninga - Sr
Illini Bluffs (Glasford, IL)","F, PF",594,22.0,48.6,1.0,16.2,2.0,2.0,3.2
"Yaniel Vidal - Sr
Holly (CO)",,351,14.0,46.1,10.0,19.7,5.6,5.8,2.4
"Zion Williamson - Jr
Spartanburg Day (Spartanburg, SC)","G, SF",1029,29.4,40.1,3.5,14.2,3.2,2.5,1.4
"Teddy Allen - Sr
Boys Town (NE)",,658,26.3,38.5,4.9,15.8,3.9,3.1,3.5
"Parker Hicks - Sr
Decatur (TX)",,972,27.8,36.0,1.9,11.8,1.9,2.8,3.1
"Desmond Pressley - Sr
Hemingway (SC)",,343,12.7,33.8,6.6,13.9,4.9,4.9,5.2
"Maurice Williams - Jr
Boys' Home (Covington, VA)","PF, F",607,25.3,33.1,1.8,22.8,2.6,1.6,2.6
"Chaz Smith - Sr
Vernon (TX)",G,410,19.5,32.0,2.6,9.4,7.3,4.5,3.4
"Joshua Streater - Sr
Bowen (Chicago, IL)","G, F",637,29.0,31.9,2.0,11.9,1.8,2.3,2.4
"Carl Johnson - Sr
Putnam County (Eatonton, GA)","PG, SG",771,27.5,31.1,,,,,
"Deondre Bourne - Sr
Leman Manhattan Prep (New York, NY)","G, PG",649,29.5,31.1,,9.1,,,
"Mario Whitley - Jr
Frankenmuth (MI)",,580,26.4,30.4,3.0,16.1,3.0,2.3,2.2
"Ethan Powell - Jr
Rome Free Academy (Rome, NY)",G,461,22.0,30.3,3.3,4.4,3.8,3.1,
"Taylor Cox - Sr
Durant (OK)","PG, SG",639,29.0,30.2,5.2,7.6,2.5,2.2,2.9
"Trendon Watford - So
Mountain Brook (Birmingham, AL)",F,880,24.4,30.1,3.9,13.0,1.7,3.9,2.9
"Lucas Basilio - Sr
Putnam (CT)","F, C",422,20.1,30.0,0.8,18.0,2.2,5.2,5.6
"Colin Rardin - Sr
Rock Canyon (Highlands Ranch, CO)",G,371,14.3,29.2,6.7,8.2,2.8,4.1,5.3
"Jimmy Archer - Sr
Rainier Christian (Covington, WA)",G,622,29.6,28.7,6.0,3.1,2.8,2.1,1.2
"JEREMIAH CUDE - Sr
Mountain State Christian (Culloden, WV)",,655,28.5,28.4,7.3,18.3,,3.1,
"Marcus Nafziger - Sr
Fountain City Christian (Bryan, OH)","G, F",703,30.6,28.4,,14.6,,,3.1
"Tyree Crankfield - Sr
Campbell (Smyrna, GA)",G,786,27.1,28.3,5.4,4.3,,5.6,3.5
"Sigi Avalos - Sr
Holly (CO)",,348,13.9,28.0,8.6,,3.5,2.6,1.2
"Hunter Baker - So
Western Grove (AR)",,833,30.9,27.9,3.0,3.2,2.1,3.8,2.2
"Cameron Hamilton - Sr
Zebulon B. Vance (Charlotte, NC)",PG,757,27.0,27.6,3.1,5.0,3.8,2.9,3.1
"Dawson Maus - Sr
Oblong (IL)","G, SF",833,29.8,27.6,2.3,5.5,1.6,,3.0
"Jack Nunge - Sr
Castle (Newburgh, IN)","F, C",742,26.5,27.6,,14.0,,,
