Name,Position,Minutes,Minutes/Game,Points/32,Assists/32,Rebounds/32,Steals/32,turnsover/32,Fouls/32
Name,none,none,none,none,none,none,none,none,none
"Logan Sorensen - Sr
Payson (UT)",,402,15.5,46.6,6.8,13.2,2.5,5.4,4.3
"David Layton - Jr
Oak Ridge (MO)","PG, SG",786,29.1,38.3,6.3,9.3,5.2,3.9,
"Drake London - Sr
Moorpark (CA)",,787,25.4,36.8,,15.0,,,
"Luke Brown - So
Blackford (Hartford City, IN)",PG,717,31.2,35.9,6.9,5.0,2.8,3.1,1.7
"Jimmy Forte - Jr
Community Christian (Wilson, NC)",PG,799,30.7,32.3,,,,,
"Alex Hemenway - Sr
Castle (Newburgh, IN)","SG, PG",646,28.1,32.1,,5.4,,,
"Jeremy DowDell - Sr
Olympus (Salt Lake City, UT)",SG,680,29.6,32.0,0.5,5.7,1.5,2.7,1.7
"Ilya Rudishin - Sr
Friendship Christian (Suwanee, GA)",SF,371,16.9,31.6,,23.5,,,
"Kris Robinson - Jr
Lincolnton (NC)",G,574,30.2,31.4,2.9,4.9,2.2,2.5,2.1
"Christian Fortner - Sr
Thorsby (AL)","SG, PG",661,25.4,31.3,5.0,12.6,2.7,2.6,2.5
"Joseph Kimmerer - Jr
Hale (MI)","PG, SG",605,26.3,31.0,2.8,14.4,2.5,4.3,2.9
"Ofek Reef - Sr
Yavneh Academy (Dallas, TX)","P, W",770,23.3,31.0,,14.3,4.8,,
"Marcus Frazier - Jr
Monsignor Pace (Miami, FL)",G,829,29.6,30.4,2.8,6.1,4.0,5.7,1.8
"Kacen Gantt - So
Mount Olive Christian (Athens, LA)","C, F",838,29.9,30.1,1.1,9.8,0.7,2.6,2.0
"Robert Reed - Jr
Golden Sierra (Garden Valley, CA)","F, G",513,23.3,30.0,,,,,
"Matthew Villota - Sr
Westwood (Dallas, TX)","SG, PG",560,25.5,29.8,6.0,9.5,6.8,4.9,2.5
"Caleb Leverette - Sr
South Aiken Baptist Christian (Aiken, SC)","SG, PG",527,26.4,29.8,3.6,10.9,2.6,2.9,2.6
"Jordan Battle - Jr
Norfolk Collegiate (Norfolk, VA)","PG, SG",1073,30.7,29.7,5.8,9.8,4.1,2.3,2.1
"Jace Daniels - Sr
Sparta Academy (Evergreen, AL)",,706,28.2,29.2,3.0,16.6,3.5,6.7,2.8
"Kelly Niece - So
Simon Kenton (Independence, KY)","SG, PG",607,25.3,29.2,4.4,4.9,1.9,3.3,1.9
"Coleman Street III - Sr
Arbor Prep (Ypsilanti, MI)",G,510,24.3,29.2,1.6,4.0,1.4,3.4,2.4
"David Patterson - Sr
Rio Rancho (NM)",G,727,26.0,29.1,4.6,4.6,2.9,4.2,2.6
"Jake Lock - Jr
Fort Wayne HomeSchool (Fort Wayne, IN)","PG, G",1208,30.2,28.9,6.4,12.2,3.8,3.1,2.5
"Malachi Herbster - Sr
Shreveport HomeSchool Sports (Shreveport, LA)","PF, C",721,21.8,28.9,3.4,16.2,2.2,5.5,3.4
"Sam Mitchell - So
Payson (UT)",,368,14.2,28.7,3.0,12.4,2.3,1.7,6.4
"Chase Johnston - Sr
Westminster Academy (Fort Lauderdale, FL)","SG, PG",755,30.2,28.7,4.5,6.4,2.3,,
"Myles Johnson - Sr
Indianapolis HomeSchool Wildcats (Indianapolis, IN)","G, F",996,26.2,28.2,4.6,13.8,2.9,5.0,2.5
"Kohl Bernarding - Sr
Cochranton (PA)",G,547,23.8,28.0,6.8,5.9,7.2,3.3,2.8
"Jalen Blackmon - So
Marion (IN)",G,840,31.1,27.7,3.9,2.9,1.7,3.4,2.1
"Jon Moore - Jr
Somerset Christian (Somerset, KY)",F,731,29.2,27.2,2.2,11.6,2.2,1.7,2.1
"Dale Smith - Sr
Waco (TX)",SF,649,20.3,26.9,2.3,9.5,2.8,2.8,3.4
"Bryan Leslie - Jr
Southwest (Bartley, NE)","SF, PF",419,20.0,26.7,3.7,13.4,4.9,,
"Brandon Goff - Jr
Cherokee Christian (Woodstock, GA)","SG, PG",527,20.3,26.7,4.7,7.0,3.0,6.3,2.0
"Deric Woods - Sr
Front Range Baptist (Fort Collins, CO)","C, PF",543,24.7,26.6,3.9,14.9,2.7,3.7,3.7
"Malik Foston - Sr
Georgia Military College (Milledgeville, GA)","PG, SF",692,31.5,26.6,3.0,6.6,1.8,1.9,2.2
"Johnny Little - Sr
Christian Academy of Greater St. Louis (St. Louis, MO)",G,766,23.2,26.5,3.0,5.3,2.5,3.1,1.8
"Jason Carpenter - Jr
Novato (CA)",G,644,24.8,26.5,3.3,,,,
"Mckinley Mann - Sr
James Monroe (Lindside, WV)",,708,30.8,26.4,3.6,14.6,2.6,4.3,1.4
"Brandon Rush - Sr
Warrensville Heights (Warrensville, OH)",G,565,24.6,26.4,2.3,7.3,2.5,3.4,3.7
"Kade Badger - Sr
Henryville (IN)",G,677,29.4,26.3,3.4,4.7,1.8,3.6,2.6
"Davis Walker - Jr
PCHA (Naperville, IL)","PG, G",892,29.7,26.3,6.5,9.4,5.0,1.7,
"Gus Etchison - So
Hamilton Heights (Arcadia, IN)",G,672,28.0,26.1,4.1,4.2,1.8,3.4,2.1
"Cooper Frith - Jr
Rocky Mountain (Meridian, ID)",SG,529,19.6,26.1,3.0,2.7,1.5,2.7,2.1
"Robby Williams - Sr
Charleston Catholic (Charleston, WV)","PG, SG",671,29.2,26.0,1.4,2.1,0.8,2.3,1.3
"Khalil Shaheed - Jr
Superior Collegiate (Clearwater, FL)",,788,22.5,26.0,4.7,5.2,2.0,3.2,4.4
"John Tonje - Sr
Omaha Central (Omaha, NE)","SF, SG",820,29.3,26.0,,6.7,,,
"Dylan Thoerner - Sr
Beckman (Irvine, CA)",W,696,24.9,25.7,2.5,7.3,1.5,2.6,
"Winston Cook - Sr
Wahoo (NE)","SF, PF",660,25.4,25.5,,9.6,,,
"TJ Bickerstaff - Sr
Sandy Creek (Tyrone, GA)",F,791,25.5,25.4,5.7,11.5,,4.0,
"Caleb Whitley - Sr
Tarboro (NC)",G,418,24.6,25.3,7.8,,,,
Name,none,none,none,none,none,none,none,none,none
"Logan Sorensen - Sr
Payson (UT)",,402,15.5,46.6,6.8,13.2,2.5,5.4,4.3
"David Layton - Jr
Oak Ridge (MO)","PG, SG",786,29.1,38.3,6.3,9.3,5.2,3.9,
"Drake London - Sr
Moorpark (CA)",,787,25.4,36.8,,15.0,,,
"Luke Brown - So
Blackford (Hartford City, IN)",PG,717,31.2,35.9,6.9,5.0,2.8,3.1,1.7
"Jimmy Forte - Jr
Community Christian (Wilson, NC)",PG,799,30.7,32.3,,,,,
"Alex Hemenway - Sr
Castle (Newburgh, IN)","SG, PG",646,28.1,32.1,,5.4,,,
"Jeremy DowDell - Sr
Olympus (Salt Lake City, UT)",SG,680,29.6,32.0,0.5,5.7,1.5,2.7,1.7
"Ilya Rudishin - Sr
Friendship Christian (Suwanee, GA)",SF,371,16.9,31.6,,23.5,,,
"Kris Robinson - Jr
Lincolnton (NC)",G,574,30.2,31.4,2.9,4.9,2.2,2.5,2.1
"Christian Fortner - Sr
Thorsby (AL)","SG, PG",661,25.4,31.3,5.0,12.6,2.7,2.6,2.5
"Joseph Kimmerer - Jr
Hale (MI)","PG, SG",605,26.3,31.0,2.8,14.4,2.5,4.3,2.9
"Ofek Reef - Sr
Yavneh Academy (Dallas, TX)","P, W",770,23.3,31.0,,14.3,4.8,,
"Marcus Frazier - Jr
Monsignor Pace (Miami, FL)",G,829,29.6,30.4,2.8,6.1,4.0,5.7,1.8
"Kacen Gantt - So
Mount Olive Christian (Athens, LA)","C, F",838,29.9,30.1,1.1,9.8,0.7,2.6,2.0
"Robert Reed - Jr
Golden Sierra (Garden Valley, CA)","F, G",513,23.3,30.0,,,,,
"Matthew Villota - Sr
Westwood (Dallas, TX)","SG, PG",560,25.5,29.8,6.0,9.5,6.8,4.9,2.5
"Caleb Leverette - Sr
South Aiken Baptist Christian (Aiken, SC)","SG, PG",527,26.4,29.8,3.6,10.9,2.6,2.9,2.6
"Jordan Battle - Jr
Norfolk Collegiate (Norfolk, VA)","PG, SG",1073,30.7,29.7,5.8,9.8,4.1,2.3,2.1
"Jace Daniels - Sr
Sparta Academy (Evergreen, AL)",,706,28.2,29.2,3.0,16.6,3.5,6.7,2.8
"Kelly Niece - So
Simon Kenton (Independence, KY)","SG, PG",607,25.3,29.2,4.4,4.9,1.9,3.3,1.9
"Coleman Street III - Sr
Arbor Prep (Ypsilanti, MI)",G,510,24.3,29.2,1.6,4.0,1.4,3.4,2.4
"David Patterson - Sr
Rio Rancho (NM)",G,727,26.0,29.1,4.6,4.6,2.9,4.2,2.6
"Jake Lock - Jr
Fort Wayne HomeSchool (Fort Wayne, IN)","PG, G",1208,30.2,28.9,6.4,12.2,3.8,3.1,2.5
"Malachi Herbster - Sr
Shreveport HomeSchool Sports (Shreveport, LA)","PF, C",721,21.8,28.9,3.4,16.2,2.2,5.5,3.4
"Sam Mitchell - So
Payson (UT)",,368,14.2,28.7,3.0,12.4,2.3,1.7,6.4
"Chase Johnston - Sr
Westminster Academy (Fort Lauderdale, FL)","SG, PG",755,30.2,28.7,4.5,6.4,2.3,,
"Myles Johnson - Sr
Indianapolis HomeSchool Wildcats (Indianapolis, IN)","G, F",996,26.2,28.2,4.6,13.8,2.9,5.0,2.5
"Kohl Bernarding - Sr
Cochranton (PA)",G,547,23.8,28.0,6.8,5.9,7.2,3.3,2.8
"Jalen Blackmon - So
Marion (IN)",G,840,31.1,27.7,3.9,2.9,1.7,3.4,2.1
"Jon Moore - Jr
Somerset Christian (Somerset, KY)",F,731,29.2,27.2,2.2,11.6,2.2,1.7,2.1
"Dale Smith - Sr
Waco (TX)",SF,649,20.3,26.9,2.3,9.5,2.8,2.8,3.4
"Bryan Leslie - Jr
Southwest (Bartley, NE)","SF, PF",419,20.0,26.7,3.7,13.4,4.9,,
"Brandon Goff - Jr
Cherokee Christian (Woodstock, GA)","SG, PG",527,20.3,26.7,4.7,7.0,3.0,6.3,2.0
"Deric Woods - Sr
Front Range Baptist (Fort Collins, CO)","C, PF",543,24.7,26.6,3.9,14.9,2.7,3.7,3.7
"Malik Foston - Sr
Georgia Military College (Milledgeville, GA)","PG, SF",692,31.5,26.6,3.0,6.6,1.8,1.9,2.2
"Johnny Little - Sr
Christian Academy of Greater St. Louis (St. Louis, MO)",G,766,23.2,26.5,3.0,5.3,2.5,3.1,1.8
"Jason Carpenter - Jr
Novato (CA)",G,644,24.8,26.5,3.3,,,,
"Mckinley Mann - Sr
James Monroe (Lindside, WV)",,708,30.8,26.4,3.6,14.6,2.6,4.3,1.4
"Brandon Rush - Sr
Warrensville Heights (Warrensville, OH)",G,565,24.6,26.4,2.3,7.3,2.5,3.4,3.7
"Kade Badger - Sr
Henryville (IN)",G,677,29.4,26.3,3.4,4.7,1.8,3.6,2.6
"Davis Walker - Jr
PCHA (Naperville, IL)","PG, G",892,29.7,26.3,6.5,9.4,5.0,1.7,
"Gus Etchison - So
Hamilton Heights (Arcadia, IN)",G,672,28.0,26.1,4.1,4.2,1.8,3.4,2.1
"Cooper Frith - Jr
Rocky Mountain (Meridian, ID)",SG,529,19.6,26.1,3.0,2.7,1.5,2.7,2.1
"Robby Williams - Sr
Charleston Catholic (Charleston, WV)","PG, SG",671,29.2,26.0,1.4,2.1,0.8,2.3,1.3
"Khalil Shaheed - Jr
Superior Collegiate (Clearwater, FL)",,788,22.5,26.0,4.7,5.2,2.0,3.2,4.4
"John Tonje - Sr
Omaha Central (Omaha, NE)","SF, SG",820,29.3,26.0,,6.7,,,
"Dylan Thoerner - Sr
Beckman (Irvine, CA)",W,696,24.9,25.7,2.5,7.3,1.5,2.6,
"Winston Cook - Sr
Wahoo (NE)","SF, PF",660,25.4,25.5,,9.6,,,
"TJ Bickerstaff - Sr
Sandy Creek (Tyrone, GA)",F,791,25.5,25.4,5.7,11.5,,4.0,
"Caleb Whitley - Sr
Tarboro (NC)",G,418,24.6,25.3,7.8,,,,
Name,none,none,none,none,none,none,none,none,none
"Tyler Cloud - Jr
Quinton (OK)",PG,747,28.7,25.2,2.6,5.1,2.3,4.0,2.3
"Keenami Maggard - Sr
Mountain House (CA)",SF,506,18.7,25.2,2.4,11.2,3.7,3.7,2.8
"Josiah Ricketts - Jr
North Posey (Poseyville, IN)","PG, SG",723,28.9,25.1,1.9,3.9,1.1,3.4,1.6
"Ray'sean Taylor - Jr
Collinsville (IL)",G,901,27.3,25.1,4.0,6.3,2.1,3.0,2.6
"Jace Whiting - Jr
Burley (ID)","PG, SG",597,27.1,25.0,2.9,10.7,1.8,2.5,3.3
"Sam Griffin - Sr
Westminster Academy (Fort Lauderdale, FL)",PG,761,30.4,24.8,4.3,2.9,,,
"Jay Buckley - Jr
Shelbyville (TX)",PG,1134,27.7,24.7,8.6,5.8,3.9,4.6,2.0
"Ques Glover - Sr
Bearden (Knoxville, TN)",G,1013,27.4,24.7,4.3,3.2,1.7,3.2,2.7
"Lyndon Henderson - Sr
Arbor Prep (Ypsilanti, MI)",W,515,23.4,24.6,1.5,8.8,2.8,2.6,3.5
"Cory Ainsworth - Sr
Wayland (MI)","C, PF",561,28.1,24.6,2.2,9.6,0.9,2.6,3.1
"Jake Daly - Jr
Millbrook (NY)",PG,458,22.9,24.5,8.2,10.6,,4.4,
"Billy Whitting - Sr
Lincoln (Stockton, CA)",G,498,17.8,24.4,,,,,
"Terrell Burden - Sr
Campbell (Smyrna, GA)",PG,793,30.5,24.3,6.1,5.4,,4.6,2.7
"Herb Augustin - Sr
Boca Raton Christian (Boca Raton, FL)","PG, SG",678,28.3,24.3,2.5,7.2,2.0,3.9,1.9
"Reilly Seebold - Sr
Highland Park (Dallas, TX)",G,813,23.9,24.3,1.8,3.0,1.4,2.4,2.7
"Braden Gibbons - Jr
Madrid (IA)","PG, SG",642,29.2,24.2,9.1,3.9,2.8,4.0,2.8
"Kade Bryant - So
Brilliant (AL)","SG, F",813,29.0,24.2,1.9,9.0,2.3,3.9,3.1
